Pesos de entrada para a camada escondida apos o: 
[[0.75129599 0.39932504]
 [0.77329779 0.60971131]
 [0.86550894 0.50903062]
 [0.50130192 0.06344563]
 [0.92702336 0.49631073]
 [0.2816407  0.87262273]
 [0.23102109 0.3257086 ]
 [0.5849976  0.68657001]
 [0.01239605 0.43559515]
 [0.75603827 0.37042061]
 [0.67542206 0.53050237]
 [0.27634665 0.26905202]
 [0.72880748 0.43552381]
 [0.03032991 0.10554842]
 [0.70452981 0.77711652]
 [0.2182901  0.54222337]
 [0.05309235 0.09653422]
 [0.19857176 0.67257472]
 [0.96125882 0.70505609]
 [0.29367174 0.41549546]
 [0.10670528 0.87457613]
 [0.07444277 0.28321894]
 [0.64194054 0.37759609]
 [0.7838437  0.4042424 ]
 [0.35922327 0.53917208]
 [0.33792794 0.92412236]
 [0.39012682 0.24971728]
 [0.27987328 0.56117973]
 [0.13422142 0.98670252]
 [0.11985528 0.42078328]
 [0.17122388 0.97693939]
 [0.13706406 0.08715097]
 [0.14023696 0.90398981]
 [0.23294461 0.10394528]
 [0.46872066 0.13499637]
 [0.00222292 0.92892125]
 [0.46357713 0.46027773]
 [0.73934761 0.94959756]
 [0.41465787 0.52010975]
 [0.10097044 0.94116373]
 [0.22342956 0.67248822]
 [0.92253837 0.75428213]
 [0.53848082 0.57088621]
 [0.27227227 0.93528311]
 [0.33245735 0.42514773]
 [0.83996255 0.90010444]
 [0.96165039 0.0337874 ]
 [0.95498893 0.95741185]
 [0.08158146 0.70800508]
 [0.61404412 0.68458999]
 [0.81811012 0.36086103]
 [0.26384002 0.83316124]
 [0.49929196 0.14953912]
 [0.61954166 0.07956832]
 [0.10061744 0.47357472]
 [0.30875042 0.87204011]
 [0.04240939 0.45532801]
 [0.25248046 0.24421904]
 [0.39834299 0.57895852]
 [0.6928079  0.38446489]
 [0.88402611 0.60127164]
 [0.55902939 0.42593936]
 [0.48559217 0.5298479 ]]
